experiment,sweep_id,repeat_index,M,N,K,iters,ops_nominal,dtype,locality,operand_dist_a,operand_dist_b,util_frac,energy_j,duration_s,mean_power_w,meter_method,r_j_per_op,gpu_name,gpu_uuid,driver_version,cuda_version,torch_version,persistence_mode,sm_clock_mhz,mem_clock_mhz,power_limit_w,temperature_c,throttled,throttle_reasons,clocks_locked,timestamp_utc,trimmed,sm_clock_p50_mhz,sm_clock_min_mhz,sm_clock_max_mhz,temperature_max_c,throttle_union,idle_variant,cov_dtype,cov_dist,cov_iters,cov_ops_nominal,window_pad_s
0,b73b5094c430,0,2048,2048,2048,18308,314529045020672,fp16,streamed,reference_drift,reference_drift,,651.256,1.3298748470260762,489.7122473264059,nvml_energy_counter,2.0705750718735596e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1350,1593,500.0,68.0,False,4,False,2026-07-22T02:49:43.762136+00:00,False,1365.0,1350.0,1365.0,64.0,4,,,,0,0,0.0
0,b73b5094c430,1,2048,2048,2048,18308,314529045020672,fp16,streamed,reference_drift,reference_drift,,701.418,1.3331489010015503,526.1362774053582,nvml_energy_counter,2.230057958411759e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1350,1593,500.0,68.0,False,4,False,2026-07-22T02:49:43.762136+00:00,True,1350.0,1350.0,1365.0,66.0,4,,,,0,0,0.0
0,b73b5094c430,2,2048,2048,2048,18308,314529045020672,fp16,streamed,reference_drift,reference_drift,,649.372,1.3345909269992262,486.57006942201133,nvml_energy_counter,2.0645851640102773e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1350,1593,500.0,68.0,False,4,False,2026-07-22T02:49:43.762136+00:00,False,1350.0,1335.0,1380.0,66.0,4,,,,0,0,0.0
0,b73b5094c430,3,2048,2048,2048,18308,314529045020672,fp16,streamed,reference_drift,reference_drift,,701.01,1.3368907530093566,524.3584776258033,nvml_energy_counter,2.228760780912704e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1350,1593,500.0,68.0,False,4,False,2026-07-22T02:49:43.762136+00:00,False,1350.0,1335.0,1380.0,67.0,4,,,,0,0,0.0
0,b73b5094c430,4,2048,2048,2048,18308,314529045020672,fp16,streamed,reference_drift,reference_drift,,651.549,1.3409684139769524,485.87945339270186,nvml_energy_counter,2.071506623361851e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1350,1593,500.0,68.0,False,4,False,2026-07-22T02:49:43.762136+00:00,False,1350.0,1335.0,1365.0,68.0,4,,,,0,0,0.0
7,b73b5094c430,0,2048,2048,2048,36243,622649998835712,fp16,streamed,declared_typical,declared_typical,,1982.14,10.006741421995685,198.0804655992294,nvml_energy_counter,3.1833935657373917e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1275,1593,500.0,35.0,False,0,False,2026-07-22T02:51:03.864485+00:00,True,1275.0,1275.0,1410.0,61.0,4,,int8,zeros,9148,157161443295232,6.850609685003292
7,b73b5094c430,1,2048,2048,2048,36243,622649998835712,fp16,streamed,declared_typical,declared_typical,,1974.546,10.007017278985586,197.31613776129706,nvml_energy_counter,3.17119730778477e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1275,1593,500.0,35.0,False,0,False,2026-07-22T02:51:03.864485+00:00,False,1275.0,1275.0,1410.0,60.0,4,,int8,zeros,9148,157161443295232,6.846051761996932
7,b73b5094c430,2,2048,2048,2048,36243,622649998835712,fp16,streamed,declared_typical,declared_typical,,1960.256,10.006660809973255,195.89511798444173,nvml_energy_counter,3.1482470146397918e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1275,1593,500.0,35.0,False,0,False,2026-07-22T02:51:03.864485+00:00,False,1275.0,1275.0,1410.0,60.0,4,,int8,zeros,9148,157161443295232,6.842470821982715
7,b73b5094c430,3,2048,2048,2048,36243,622649998835712,fp16,streamed,declared_typical,declared_typical,,1981.234,10.00700921297539,197.98462835739895,nvml_energy_counter,3.181938494667458e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1275,1593,500.0,35.0,False,0,False,2026-07-22T02:51:03.864485+00:00,False,1275.0,1275.0,1410.0,59.0,4,,int8,zeros,9148,157161443295232,6.857361514994409
7,b73b5094c430,4,2048,2048,2048,36243,622649998835712,fp16,streamed,declared_typical,declared_typical,,1961.886,10.00663637497928,196.0584882354199,nvml_energy_counter,3.150864857734705e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1275,1593,500.0,35.0,False,0,False,2026-07-22T02:51:03.864485+00:00,False,1275.0,1275.0,1410.0,59.0,4,,int8,zeros,9148,157161443295232,6.85445612197509
7,b73b5094c430,0,2048,2048,2048,36243,622649998835712,fp16,streamed,declared_typical,declared_typical,,2271.446,10.005389761005063,227.02224043812046,nvml_energy_counter,3.648030200349085e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1275,1593,500.0,36.0,False,0,False,2026-07-22T02:52:23.954923+00:00,False,1365.0,1275.0,1410.0,59.0,4,,fp16,zeros,29461,506136126029824,5.308378249988891
