experiment,sweep_id,repeat_index,M,N,K,iters,ops_nominal,dtype,locality,operand_dist_a,operand_dist_b,util_frac,energy_j,duration_s,mean_power_w,meter_method,r_j_per_op,gpu_name,gpu_uuid,driver_version,cuda_version,torch_version,persistence_mode,sm_clock_mhz,mem_clock_mhz,power_limit_w,temperature_c,throttled,throttle_reasons,clocks_locked,timestamp_utc,trimmed,sm_clock_p50_mhz,sm_clock_min_mhz,sm_clock_max_mhz,temperature_max_c,throttle_union,idle_variant,cov_dtype,cov_dist,cov_iters,cov_ops_nominal,window_pad_s
3,b9af294e862e,0,0,0,0,0,0,fp16,streamed,idle,idle,0.0,315.368,5.004958260979038,63.01111488955949,nvml_energy_counter,nan,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,210,1593,500.0,26.0,False,1,False,2026-07-22T02:26:24.411782+00:00,False,210.0,210.0,210.0,26.0,1,no_ctx,,,0,0,0.0
3,b9af294e862e,1,0,0,0,0,0,fp16,streamed,idle,idle,0.0,314.973,5.005055424000602,62.93097145130877,nvml_energy_counter,nan,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,210,1593,500.0,26.0,False,1,False,2026-07-22T02:26:24.411782+00:00,False,210.0,210.0,210.0,26.0,1,no_ctx,,,0,0,0.0
3,b9af294e862e,2,0,0,0,0,0,fp16,streamed,idle,idle,0.0,315.089,5.0048435860080644,62.956812652624684,nvml_energy_counter,nan,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,210,1593,500.0,26.0,False,1,False,2026-07-22T02:26:24.411782+00:00,False,210.0,210.0,210.0,26.0,1,no_ctx,,,0,0,0.0
3,b9af294e862e,3,0,0,0,0,0,fp16,streamed,idle,idle,0.0,315.328,5.005066354002338,63.00176215403131,nvml_energy_counter,nan,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,210,1593,500.0,26.0,False,1,False,2026-07-22T02:26:24.411782+00:00,False,210.0,210.0,210.0,26.0,1,no_ctx,,,0,0,0.0
3,b9af294e862e,4,0,0,0,0,0,fp16,streamed,idle,idle,0.0,316.122,5.005061305011623,63.16046512426603,nvml_energy_counter,nan,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,210,1593,500.0,26.0,False,1,False,2026-07-22T02:26:24.411782+00:00,False,210.0,210.0,210.0,26.0,1,no_ctx,,,0,0,0.0
3,b9af294e862e,0,0,0,0,0,0,fp16,streamed,idle,idle,0.0,315.774,5.005064521974418,63.09089495522271,nvml_energy_counter,nan,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,210,1593,500.0,26.0,False,1,False,2026-07-22T02:26:49.707534+00:00,False,210.0,210.0,210.0,26.0,1,ctx,,,0,0,0.0
3,b9af294e862e,1,0,0,0,0,0,fp16,streamed,idle,idle,0.0,315.612,5.004952371993568,63.05994074310956,nvml_energy_counter,nan,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,210,1593,500.0,26.0,False,1,False,2026-07-22T02:26:49.707534+00:00,False,210.0,210.0,210.0,26.0,1,ctx,,,0,0,0.0
3,b9af294e862e,2,0,0,0,0,0,fp16,streamed,idle,idle,0.0,315.528,5.005043242010288,63.04201277455246,nvml_energy_counter,nan,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,210,1593,500.0,26.0,False,1,False,2026-07-22T02:26:49.707534+00:00,False,210.0,210.0,210.0,26.0,1,ctx,,,0,0,0.0
3,b9af294e862e,3,0,0,0,0,0,fp16,streamed,idle,idle,0.0,315.472,5.005054712994024,63.030679600959765,nvml_energy_counter,nan,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,210,1593,500.0,26.0,False,1,False,2026-07-22T02:26:49.707534+00:00,False,210.0,210.0,210.0,26.0,1,ctx,,,0,0,0.0
3,b9af294e862e,4,0,0,0,0,0,fp16,streamed,idle,idle,0.0,315.266,5.005048221035395,62.98960291231338,nvml_energy_counter,nan,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,210,1593,500.0,26.0,False,1,False,2026-07-22T02:26:49.707534+00:00,False,210.0,210.0,210.0,26.0,1,ctx,,,0,0,0.0
3,b9af294e862e,0,0,0,0,0,0,fp16,streamed,idle,idle,0.0,374.167,5.0051085550221615,74.75701993007887,nvml_energy_counter,nan,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1275,1593,500.0,27.0,False,0,False,2026-07-22T02:27:14.987495+00:00,False,1275.0,1275.0,1275.0,26.0,0,cached,,,0,0,0.0
3,b9af294e862e,1,0,0,0,0,0,fp16,streamed,idle,idle,0.0,374.056,5.00513708795188,74.73441654583432,nvml_energy_counter,nan,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1275,1593,500.0,27.0,False,0,False,2026-07-22T02:27:14.987495+00:00,False,1275.0,1275.0,1275.0,27.0,0,cached,,,0,0,0.0
3,b9af294e862e,2,0,0,0,0,0,fp16,streamed,idle,idle,0.0,374.583,5.005141395959072,74.83964395140198,nvml_energy_counter,nan,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1275,1593,500.0,27.0,False,0,False,2026-07-22T02:27:14.987495+00:00,False,1275.0,1275.0,1275.0,27.0,0,cached,,,0,0,0.0
3,b9af294e862e,3,0,0,0,0,0,fp16,streamed,idle,idle,0.0,367.202,5.0051023429841734,73.3655327777103,nvml_energy_counter,nan,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1275,1593,500.0,27.0,False,0,False,2026-07-22T02:27:14.987495+00:00,False,1275.0,1275.0,1275.0,27.0,0,cached,,,0,0,0.0
3,b9af294e862e,4,0,0,0,0,0,fp16,streamed,idle,idle,0.0,374.836,5.005129773984663,74.89036586989175,nvml_energy_counter,nan,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1275,1593,500.0,27.0,False,0,False,2026-07-22T02:27:14.987495+00:00,False,1275.0,1275.0,1275.0,27.0,0,cached,,,0,0,0.0
0,b9af294e862e,0,2048,2048,2048,17761,305131656577024,fp16,streamed,reference_drift,reference_drift,,601.367,1.2803111030370928,469.7038075929092,nvml_energy_counter,1.970844345506962e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,58.0,False,4,False,2026-07-22T02:27:25.407640+00:00,False,1365.0,1350.0,1380.0,54.0,4,,,,0,0,0.0
0,b9af294e862e,1,2048,2048,2048,17761,305131656577024,fp16,streamed,reference_drift,reference_drift,,650.464,1.2817788590327837,507.4697522245242,nvml_energy_counter,2.131748659896271e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,58.0,False,4,False,2026-07-22T02:27:25.407640+00:00,True,1365.0,1350.0,1380.0,55.0,4,,,,0,0,0.0
0,b9af294e862e,2,2048,2048,2048,17761,305131656577024,fp16,streamed,reference_drift,reference_drift,,650.243,1.2809308670111932,507.6331726763815,nvml_energy_counter,2.1310243823746294e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,58.0,False,4,False,2026-07-22T02:27:25.407640+00:00,False,1365.0,1350.0,1380.0,56.0,4,,,,0,0,0.0
0,b9af294e862e,3,2048,2048,2048,17761,305131656577024,fp16,streamed,reference_drift,reference_drift,,648.79,1.28497638204135,504.9042216397112,nvml_energy_counter,2.1262625034653747e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,58.0,False,4,False,2026-07-22T02:27:25.407640+00:00,False,1365.0,1350.0,1380.0,57.0,4,,,,0,0,0.0
0,b9af294e862e,4,2048,2048,2048,17761,305131656577024,fp16,streamed,reference_drift,reference_drift,,649.14,1.284441608004272,505.38692919533713,nvml_energy_counter,2.127409549314128e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,58.0,False,4,False,2026-07-22T02:27:25.407640+00:00,False,1365.0,1335.0,1380.0,58.0,4,,,,0,0,0.0
3,b9af294e862e,0,4096,4096,4096,2856,392525651116032,fp16,streamed,dense_random,dense_random,1.0,754.107,1.5188495749607682,496.4988056960667,nvml_energy_counter,1.921166165461842e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1335,1593,500.0,64.0,False,4,False,2026-07-22T02:27:37.616757+00:00,False,1335.0,1320.0,1350.0,62.0,4,,,,0,0,0.0
3,b9af294e862e,1,4096,4096,4096,2856,392525651116032,fp16,streamed,dense_random,dense_random,1.0,751.22,1.518372759979684,494.75334371123165,nvml_energy_counter,1.9138112321172524e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1335,1593,500.0,64.0,False,4,False,2026-07-22T02:27:37.616757+00:00,False,1335.0,1305.0,1365.0,62.0,4,,,,0,0,0.0
3,b9af294e862e,2,4096,4096,4096,2856,392525651116032,fp16,streamed,dense_random,dense_random,1.0,803.251,1.5197675779927522,528.5354231999748,nvml_energy_counter,2.046365626593295e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1335,1593,500.0,64.0,False,4,False,2026-07-22T02:27:37.616757+00:00,True,1335.0,1320.0,1365.0,63.0,4,,,,0,0,0.0
3,b9af294e862e,3,4096,4096,4096,2856,392525651116032,fp16,streamed,dense_random,dense_random,1.0,752.986,1.5217833339702338,494.80499831438453,nvml_energy_counter,1.9183103011461907e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1335,1593,500.0,64.0,False,4,False,2026-07-22T02:27:37.616757+00:00,False,1335.0,1305.0,1335.0,64.0,4,,,,0,0,0.0
3,b9af294e862e,4,4096,4096,4096,2856,392525651116032,fp16,streamed,dense_random,dense_random,1.0,753.106,1.5219495559576899,494.82980368958846,nvml_energy_counter,1.9186160136509886e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1335,1593,500.0,64.0,False,4,False,2026-07-22T02:27:37.616757+00:00,False,1335.0,1320.0,1350.0,64.0,4,,,,0,0,0.0
